bigram,count,PMI
penal servitude,5,16.76226263975476
cinq sous,6,16.499228233920967
pineapple compote,5,16.499228233920967
palais crystal,6,16.27683581258452
per cent,5,16.23619382808717
standard ebooks,5,16.013801406750723
praskovya pavlovna,7,15.91426573319981
noxious insect,5,15.76226263975476
quadrillion kilometers,5,15.76226263975476
mavriky mavrikyevitch,11,15.624759116004824
pani agrippina,5,15.499228233920967
frank joseph,5,15.406118829529484
tut tut,6,15.329303232478654
semyon zaharovitch,9,15.23174792305598
gott der,13,15.177300139033605
exchanged glances,6,14.91426573319981
explosive lieutenant,7,14.869177843671272
medical experts,5,14.821156328808328
arkady ivanovitch,11,14.691873311863363
united states,10,14.624759116004824
