ngram,count,rate_per_10000
fyodor dostoevsky,392,48.13182225605638
crime punishment,388,47.640681212627236
katerina ivanovna,188,23.083629041169896
pyotr petrovitch,162,19.891212258880444
pulcheria alexandrovna,118,14.48866078115983
avdotya romanovna,108,13.260808172586964
rodion romanovitch,86,10.559532433726657
porfiry petrovitch,77,9.454465086011075
don't know,74,9.086109303439216
marfa petrovna,72,8.840538781724643
old woman,71,8.717753520867355
sofya semyonovna,65,7.981041955723636
amalia ivanovna,50,6.139263042864335
young man,49,6.016477782007048
great deal,47,5.770907260292474
yes yes,34,4.174698869147748
don't want,33,4.0519136082904605
ilya petrovitch,32,3.929128347433174
raskolnikov went,30,3.6835578257186006
katerina ivanovna's,28,3.4379873040040274
