ngram,count,rate_per_10000
fyodor pavlovitch,257,19.15494637360344
old man,181,13.49044861331604
dmitri fyodorovitch,165,12.29792276904501
katerina ivanovna,161,11.999791307977253
don't know,139,10.360068272104584
alexey fyodorovitch,110,8.19861517936334
nikolay parfenovitch,97,7.229687930893127
pyotr ilyitch,89,6.633425008757611
madame hohlakov,79,5.888096356088217
young man,79,5.888096356088217
father zossima,78,5.813563490821278
thousand roubles,73,5.440899164486581
don't want,66,4.919169107618004
father païssy,66,4.919169107618004
long time,59,4.397439050749428
cried mitya,54,4.024774724414731
ivan fyodorovitch,49,3.6521103980800333
gentlemen jury,44,3.2794460717453364
fyodor pavlovitch's,42,3.130380341211457
thou didst,39,2.906781745410639
