ngram,count,rate_per_10000
cried fyodor pavlovitch,13,0.9689344702164451
hid face hands,12,0.8944010494305646
dear alexey fyodorovitch,11,0.8198676286446842
father fyodor pavlovitch,10,0.7453342078588038
cried madame hohlakov,9,0.6708007870729236
dear young lady,8,0.5962673662870431
it's good thing,8,0.5962673662870431
like fyodor pavlovitch,8,0.5962673662870431
like little child,8,0.5962673662870431
fyodor pavlovitch karamazov,7,0.5217339455011627
pyotr alexandrovitch miüsov,7,0.5217339455011627
ah alexey fyodorovitch,6,0.4472005247152823
alexey fyodorovitch karamazov,6,0.4472005247152823
brother dmitri fyodorovitch,6,0.4472005247152823
chapter chapter ii,6,0.4472005247152823
chapter iii chapter,6,0.4472005247152823
cried katerina ivanovna,6,0.4472005247152823
cried pyotr ilyitch,6,0.4472005247152823
don't know shall,6,0.4472005247152823
father zossima's cell,6,0.4472005247152823
